prompt,task type
Can you write the conversation from this video?,VTT
Create a readable version of the audio track.,VTT
Generate a written transcript of this tutorial.,VTT
Make a readable summary of this presentation.,VTT
I want to read what is said in this footage.,VTT
Document the verbal content of this clip.,VTT
Make a text-only version of this conversation.,VTT
Make text subtitles for this video.,VTT
Write the spoken content from this media file.,VTT
Write the words heard in this YouTube video.,VTT
Extract every spoken word from this clip.,VTT
Please write down the audio content of this film.,VTT
Summarize the spoken parts of this clip in text.,VTT
Generate a script from this video content.,VTT
Write out the entire speech from this webinar.,VTT
Transcribe this screen recording to text.,VTT
Make this video accessible through text.,VTT
Produce subtitles in plain text format.,VTT
Convert the audio from this video into text.,VTT
Write down the audio dialogue in this film.,VTT
Convert the speech in this video to text.,VTT
I need a transcript of this video file.,VTT
What do the people in this video say?,VTT
Write out what's said during this livestream.,VTT
Extract the spoken words from this video clip.,VTT
Make a transcription of this video interview.,VTT
Turn this video conversation into a script.,VTT
Create a caption file for this footage.,VTT
Create a dialogue log from this footage.,VTT
I need closed captions for this video.,VTT
Write out what people are saying in this video.,VTT
Create text captions from this video dialogue.,VTT
Write down everything said in this video file.,VTT
I want all the dialogue typed out.,VTT
Convert this visual narrative to written form.,VTT
Type out the speech from this video sequence.,VTT
Write the transcript as if it's a play.,VTT
Turn this movie clip into a text document.,VTT
Write the lines spoken in this documentary clip.,VTT
Produce a subtitle file for this scene.,VTT
Give me a document version of this video call.,VTT
Create a written version of this movie clip.,VTT
Create a full script of this video.,VTT
Can you create dialogue text from this video?,VTT
Extract all conversation lines from this video.,VTT
Transcribe this educational video.,VTT
What is being said in this video?,VTT
Turn this tutorial into a step-by-step text format.,VTT
Generate subtitles from this video recording.,VTT
Transcribe the dialogue from this video.,VTT
Please speak this announcement.,TTS
I'd like an audio version of this document.,TTS
Narrate this script.,TTS
Say the contents of this note.,TTS
I want to listen to this content.,TTS
Turn this short message into sound.,TTS
Read this like a narrator.,TTS
I want to hear this written note.,TTS
Say these notes out loud.,TTS
Read this as if it's a bedtime story.,TTS
Say this sentence using speech synthesis.,TTS
Speak this review out loud.,TTS
Make an audio file from this post.,TTS
Convert this email into spoken form.,TTS
Say this phrase out loud.,TTS
Say this document in a human voice.,TTS
Tell me what this text says.,TTS
Can you read this blog entry aloud?,TTS
Make this article audible.,TTS
Can you turn this message into speech?,TTS
Read this instruction with clarity.,TTS
Please read this aloud.,TTS
Read this sentence aloud.,TTS
Provide speech output for this content.,TTS
Create audio from this poem.,TTS
Convert this phrase into a sound clip.,TTS
Read out loud what’s on this flyer.,TTS
Say the following status update.,TTS
Render this letter into audio.,TTS
Make a vocal version of this caption.,TTS
Vocalize the following sentence.,TTS
Please narrate this essay.,TTS
Recite this line like a podcast.,TTS
Voice this out loud for me.,TTS
Can you vocalize this?,TTS
Make this statement audible.,TTS
Give me a spoken version of this paragraph.,TTS
I want to hear this explanation.,TTS
Give this message a voice.,TTS
Turn this line into an MP3.,TTS
Recite this document.,TTS
Use your voice to express this message.,TTS
"Tell me what’s written here, vocally.",TTS
Let me hear this slogan.,TTS
Say this comment in a friendly tone.,TTS
Convert this text into spoken words.,TTS
Give a voice to this tweet.,TTS
Speak this paragraph to me.,TTS
Please generate audio for this sentence.,TTS
Speak these words clearly.,TTS
Build a video that mirrors this melody.,ATV
Depict this audio story through visual motion.,ATV
Make an animated sequence tied to this soundscape.,ATV
Sync this sound with a dramatic video illustration.,ATV
Film an animated reaction to this audio file.,ATV
Direct a short animated film from this voiceover.,ATV
Convert this vocal recording into motion graphics.,ATV
Make this audio part of a film clip.,ATV
Develop cinematic visuals to match this soundtrack.,ATV
I want this dialogue visualized in a video.,ATV
Produce animated content synced to this file.,ATV
Generate moving graphics using this tune.,ATV
Design an animated sequence for this audio.,ATV
Render visuals that match the tempo of this audio.,ATV
Produce a video that reflects this song.,ATV
Make a visual story from this spoken content.,ATV
I want a visual performance based on this recording.,ATV
Generate a short film using this audio.,ATV
Turn this audio into a character-driven video.,ATV
Create a cartoon that plays with this sound.,ATV
Illustrate the mood of this track with video.,ATV
Produce a video visualization for this clip.,ATV
Draw and animate scenes for this recorded voice.,ATV
Turn this sound into an animated video.,ATV
Make a timeline animation to follow this voice clip.,ATV
Create a video based on this audio track.,ATV
Develop an animation inspired by this music.,ATV
Make a short documentary using this narration.,ATV
Transform this musical expression into a scene.,ATV
Render a video presentation of this voiceover.,ATV
Use motion to visualize this acoustic file.,ATV
Construct a video scene to fit this audio.,ATV
Produce video effects for this speech track.,ATV
Create a dynamic video using this speech.,ATV
Design a kinetic video based on this acoustic flow.,ATV
Convert the tone of this file into a cinematic experience.,ATV
Create an animated infographic for this audio.,ATV
Turn this commentary into visual storytelling.,ATV
Build a video using the rhythm of this recording.,ATV
I want to see a video version of this sound.,ATV
Turn this song into a music video.,ATV
Generate visuals for this piece of audio.,ATV
Let this voice guide the animation timeline.,ATV
Translate this vocal file into a video format.,ATV
Illustrate this podcast as a short video.,ATV
Animate a scene to accompany this sound file.,ATV
Make a visual translation of this monologue.,ATV
Make a motion graphic that matches this audio.,ATV
Make a video montage from this audio experience.,ATV
Convert this narration into an animated story.,ATV
"Can you explain: I uploaded a file, now what?",UNK
Can you explain: My browser won’t load websites. Help?,UNK
Why is my laptop overheating?,UNK
Tell me more about: Why is the sky blue?,UNK
Can you explain: Do you sleep at night?,UNK
Can AI be conscious?,UNK
Do we live in a simulation?,UNK
What is the capital of Argentina?,UNK
Can you explain: Can AI be conscious?,UNK
Can you explain: Can you explain gravity?,UNK
Can you explain: Why is the sky blue?,UNK
What’s the meaning of life?,UNK
Tell me more about: Can you fix a broken phone screen?,UNK
Tell me more about: Can you make my keyboard sing?,UNK
Are you smarter than a human?,UNK
Tell me more about: What does time feel like?,UNK
"I uploaded a file, now what?",UNK
Tell me more about: What’s a good daily habit to build?,UNK
Can you explain: Do we live in a simulation?,UNK
Tell me more about: What is truth?,UNK
Can you explain: Who invented electricity?,UNK
What is your favorite movie?,UNK
Tell me more about: What is your favorite movie?,UNK
Tell me more about: Give me a fantasy quest idea.,UNK
What happens if you make this spreadsheet smell like oranges.?,UNK
Who invented electricity?,UNK
Tell me more about: Do you sleep at night?,UNK
Can you explain: What is truth?,UNK
Why do people lie?,UNK
Tell me more about: Why do people lie?,UNK
Tell me more about: Is free will real?,UNK
"Tell me more about: I uploaded a file, now what?",UNK
What happens if you describe an alien civilization.?,UNK
Do you sleep at night?,UNK
Can you explain: What’s a good daily habit to build?,UNK
Can you explain: What is the capital of Argentina?,UNK
Can you explain: Tell me a fun science fact.,UNK
How far is the sun from the earth?,UNK
What happens if you tell me a joke about penguins.?,UNK
Tell me more about: How do I forgive someone?,UNK
Tell me more about: Invent a new holiday.,UNK
How do I tell someone I love them?,UNK
What happens if you turn this sound into a pancake.?,UNK
Tell me more about: What’s the meaning of life?,UNK
Can you explain: Can you think like a person?,UNK
How do I reset my router?,UNK
Tell me more about: Tell me a joke about penguins.,UNK
Tell me more about: Do something interesting with this.,UNK
Tell me more about: How do I tell someone I love them?,UNK
Can you explain: Can you turn this pizza into a spaceship?,UNK
Can you explain: Can love last forever?,UNK
Tell me more about: Are you smarter than a human?,UNK
Can you explain: Write a poem in the voice of a tree.,UNK
What happens if you tell me a short story about a dragon and a robot.?,UNK
Can you explain: Give me 5 ways to be more productive.,UNK
Tell me more about: Please make my thoughts visible.,UNK
Can you explain: Turn this sound into a pancake.,UNK
Can cats write code?,UNK
Tell me more about: How can I stay focused?,UNK
Transform this email into a unicorn.,UNK
Can you explain: Is it possible to upload my brain to the cloud?,UNK
What happens if you give me 5 ways to be more productive.?,UNK
Tell me more about: What makes something beautiful?,UNK
Can you explain: Is free will real?,UNK
What happens if you process this in any way you like.?,UNK
What happens if you transform this email into a unicorn.?,UNK
Can you explain: Can you make my keyboard sing?,UNK
Tell me more about: Is silence louder than noise?,UNK
Tell me more about: What should I do when I feel anxious?,UNK
Can you explain: What causes rainbows?,UNK
Tell me a fun science fact.,UNK
Can you explain: Help me plan my day.,UNK
What happens if you please make my thoughts visible.?,UNK
Is it possible to upload my brain to the cloud?,UNK
Why won’t my printer connect to WiFi?,UNK
Can you explain: Do you have feelings?,UNK
Can you turn this pizza into a spaceship?,UNK
Can you make my keyboard sing?,UNK
Tell me more about: How do I reset my router?,UNK
Can you explain: Please make my thoughts visible.,UNK
Can you explain: What's a good morning routine?,UNK
Tell me more about: Make this spreadsheet smell like oranges.,UNK
Can you explain: Tell me a short story about a dragon and a robot.,UNK
Can you explain: Make this file useful.,UNK
Can you explain: How far is the sun from the earth?,UNK
Tell me more about: Describe an alien civilization.,UNK
What happens if you give me a fantasy quest idea.?,UNK
Can you think like a person?,UNK
What is truth?,UNK
What happens if you write a poem in the voice of a tree.?,UNK
Can you explain: What is your favorite movie?,UNK
Tell me more about: Process this in any way you like.,UNK
Tell me more about: Why won’t my printer connect to WiFi?,UNK
Can you explain: Transform this email into a unicorn.,UNK
Tell me more about: What is the capital of Argentina?,UNK
Tell me more about: What would happen if I tried to eat the moon?,UNK
Tell me more about: Do you have feelings?,UNK
Tell me more about: Can love last forever?,UNK
Tell me more about: What’s the texture of happiness?,UNK
Can you explain: What’s the texture of happiness?,UNK
What's a good morning routine?,UNK
Tell me more about: Who won the Nobel Peace Prize in 2020?,UNK
Can you explain: Invent a new holiday.,UNK
Tell me more about: Do we live in a simulation?,UNK
Can you explain: Turn this into something else.,UNK
Is silence louder than noise?,UNK
Describe an alien civilization.,UNK
Invent a new holiday.,UNK
Tell me more about: Turn this sound into a pancake.,UNK
Can you explain: Describe an alien civilization.,UNK
Tell me more about: How far is the sun from the earth?,UNK
Can you explain: What should I do when I feel anxious?,UNK
Can you explain: Can you fix a broken phone screen?,UNK
Can you explain: What’s the meaning of life?,UNK
Can you explain gravity?,UNK
Please make my thoughts visible.,UNK
Can you explain: Why won’t my printer connect to WiFi?,UNK
Can love last forever?,UNK
Can you explain: Why is my laptop overheating?,UNK
Explain sadness using only colors.,UNK
Tell me more about: Can you think like a person?,UNK
Give me 5 ways to be more productive.,UNK
Turn this into something else.,UNK
Can you explain: Who won the Nobel Peace Prize in 2020?,UNK
Tell me more about: Turn this into something else.,UNK
What happens if you tell me a fun science fact.?,UNK
Can you explain: Can cats write code?,UNK
Help me plan my day.,UNK
What does time feel like?,UNK
Tell me more about: Why do we dream?,UNK
Can you explain: Is silence louder than noise?,UNK
Tell me more about: Tell me a fun science fact.,UNK
What happens if you explain sadness using only colors.?,UNK
Write a poem in the voice of a tree.,UNK
Make this file useful.,UNK
Can you explain: Make this spreadsheet smell like oranges.,UNK
Tell me more about: Can AI be conscious?,UNK
Turn this sound into a pancake.,UNK
What would happen if I tried to eat the moon?,UNK
My browser won’t load websites. Help?,UNK
What happens if you make this file useful.?,UNK
Can you explain: Do something interesting with this.,UNK
What’s the texture of happiness?,UNK
Tell me more about: Who invented electricity?,UNK
What happens if you do something interesting with this.?,UNK
Tell me more about: My browser won’t load websites. Help?,UNK
What happens if you invent a new holiday.?,UNK
Can you fix a broken phone screen?,UNK
Tell me more about: Explain sadness using only colors.,UNK
Why do we dream?,UNK
Make a verbal outline of this image.,ITA
Generate an auditory representation of this image.,ITA
Make a verbal explanation of this image.,ITA
I want a detailed spoken description of this graphic.,ITA
Narrate this picture out loud.,ITA
Convert this picture into a spoken explanation.,ITA
Convert this snapshot to an audio format.,ITA
Make a speech that describes this visual.,ITA
Tell me what’s in this picture using sound.,ITA
Make an audio guide for this illustration.,ITA
Can you vocalize the content of this photo?,ITA
Create a voiced summary of this visual.,ITA
I want to hear about this image.,ITA
Speak the elements of this digital artwork.,ITA
Turn the visual elements into sound.,ITA
What would a narrator say about this picture?,ITA
Convert this image to something I can hear.,ITA
What’s shown in this painting? Say it aloud.,ITA
Turn this landscape photo into audio.,ITA
Voice out the contents of this photo.,ITA
Explain this scene using your voice.,ITA
Provide a soundscape of this picture.,ITA
Speak what’s going on in this photo.,ITA
Create a voiceover for this artwork.,ITA
Generate a spoken commentary of this image.,ITA
Describe this image using audio.,ITA
Provide a voiceover for this image.,ITA
Use your voice to interpret this photo.,ITA
Describe this graphic in an auditory way.,ITA
I need an audio version of this visual content.,ITA
Give a spoken walkthrough of this visual.,ITA
Describe this photo for someone who can’t see it.,ITA
What does this image sound like?,ITA
Speak out what’s visible in this graphic.,ITA
Voice what’s in this illustration.,ITA
Generate an audio summary of what’s in this image.,ITA
Explain this photo through voice narration.,ITA
Turn this complex image into an audio file.,ITA
Give a sound explanation for this image.,ITA
Turn this illustration into an audio description.,ITA
Give a full description of this image using sound.,ITA
Create a sound description of this photo.,ITA
Use voice to describe this scenery.,ITA
Narrate what’s happening in this photo.,ITA
Make an audio file that explains this picture.,ITA
Narrate the visual details shown in this picture.,ITA
Explain this visual using sound.,ITA
Produce a descriptive audio version of this image.,ITA
Give an audio presentation of this visual.,ITA
What would this image sound like in a podcast?,ITA
Use this written idea to create a video.,TTV
Create a video that follows this story.,TTV
Record a visual animation of this written content.,TTV
Develop a video that matches this scenario.,TTV
Create a story-driven animation using this scene.,TTV
Use this as the script for a short animated video.,TTV
Translate this concept into video format.,TTV
Generate a timeline video from this text.,TTV
Use this as the basis for an animated short.,TTV
Turn this text into a video animation.,TTV
Turn this paragraph into a moving picture.,TTV
Make a film clip from this textual input.,TTV
Turn this plot into a motion video.,TTV
Bring this story to life through video.,TTV
Direct a visual story from this paragraph.,TTV
Convert this short story into a film.,TTV
Develop a character animation from this story idea.,TTV
Make an animation from this script.,TTV
Transform this into a short animated film.,TTV
I’d like this fictional idea turned into film.,TTV
Draw a scene and animate it based on this paragraph.,TTV
Visualize this line in a video.,TTV
Use this content to produce a visual story.,TTV
Animate this scene into a movie clip.,TTV
Build a short animated clip from this prompt.,TTV
Direct a short using this as your script.,TTV
Generate a short film using this description.,TTV
Create a video sketch based on this tale.,TTV
Make a video of what this story describes.,TTV
Film a short representation of this moment.,TTV
Depict this event through motion graphics.,TTV
Animate this paragraph as a video cartoon.,TTV
Generate a short animation from this text.,TTV
Make an animated depiction of this chapter.,TTV
Adapt this written setting into a video format.,TTV
Make a cinematic rendering of this scene.,TTV
Transform this plot into a video.,TTV
Build a video narrative around this prompt.,TTV
Craft a cinematic scene using this dialogue.,TTV
Film this description using animation.,TTV
Make a motion graphic of this narrative.,TTV
Create a moving image from this idea.,TTV
Convert this description into a scene-by-scene clip.,TTV
Construct a video timeline from this sentence.,TTV
I want a video made from this sentence.,TTV
Produce a video sequence based on this idea.,TTV
Produce a video drama from this monologue.,TTV
I want this turned into a video trailer.,TTV
Turn this logline into a dynamic video scene.,TTV
Visualize this scene in a video format.,TTV
Write everything that is said in this WAV file.,STT
Turn this interview into a transcript.,STT
Take the sound and return the speech as text.,STT
Turn this spoken message into words.,STT
Can you capture this monologue in text?,STT
Write down what is said in this voice note.,STT
Extract words from this vocal track.,STT
I want a text version of this audio clip.,STT
I need subtitles for this recording.,STT
Create a script from this spoken file.,STT
Transcribe this voice memo accurately.,STT
Can you turn this podcast into text?,STT
Listen and transcribe this vocal clip.,STT
Convert this speaker’s voice to written form.,STT
Make this podcast episode readable.,STT
Write out the words from this clip.,STT
Give me a log of this call in text form.,STT
I need a transcript of this phone recording.,STT
Convert the verbal content of this sample into a document.,STT
I need a printed version of this narration.,STT
Make a full text version of this .mp3.,STT
Convert the speech in this recording to text.,STT
Textify this voice input.,STT
Turn this dialogue into written format.,STT
Please write down this voice recording.,STT
Please transcribe the contents of this MP3.,STT
Record what is being said in writing.,STT
I want the speech in this clip converted to text.,STT
Produce a script of this spoken message.,STT
Transform this audio track into a readable script.,STT
Transcribe this audio file.,STT
Write this conversation down.,STT
Write a transcript for this voice sample.,STT
I want this audio explained in words.,STT
Generate written dialogue from this speech.,STT
Make a text document from this conversation.,STT
Convert this verbal file to document form.,STT
Extract dialogue from this voice file.,STT
Produce a readable form of this oral content.,STT
Give me a written transcript of this sound file.,STT
Type out what is being said in this voice message.,STT
Print the conversation from this file.,STT
I need closed captions for this audio recording.,STT
Turn this narrative into text format.,STT
Can you write out this chat recording?,STT
Type the audio information here.,STT
Please provide a text summary of this spoken content.,STT
Can you write out this audio?,STT
Draft the speech from this file.,STT
Write the words from this spoken excerpt.,STT
Generate an image that tells this story.,TTI
Produce a picture using these words.,TTI
Use this sentence to generate a graphic.,TTI
Turn this text into a graphic.,TTI
Draw a picture showing this scene.,TTI
Illustrate this short fictional idea.,TTI
Render the meaning of this text in a photo.,TTI
Convert this short text into an illustration.,TTI
Give me an image that shows what this text says.,TTI
Turn these words into a digital painting.,TTI
Generate a visual scene based on these words.,TTI
Illustrate the following concept.,TTI
Produce artwork inspired by this quote.,TTI
Construct an image from this concept.,TTI
I want a graphic that fits this description.,TTI
Visualize the content of this paragraph.,TTI
Make an artwork based on this prompt.,TTI
Generate an illustration using the given phrase.,TTI
Create a visual that reflects this quote.,TTI
Design an image using this sentence as input.,TTI
I want to see what this description looks like.,TTI
Convert this sentence into an image.,TTI
Visualize this story in a photo.,TTI
Turn this written input into a scene.,TTI
Make an illustration of this idea.,TTI
Translate this description into a visual format.,TTI
Illustrate this line of text.,TTI
Visualize what’s written in this short line.,TTI
Depict this message visually.,TTI
Render a scene from this paragraph.,TTI
Make a sketch based on this scenario.,TTI
Draw a picture that matches this sentence.,TTI
Craft an artistic rendering of this sentence.,TTI
Paint the meaning of this text.,TTI
I want to see a picture of what this text describes.,TTI
Use AI to create an image based on this caption.,TTI
Use AI to turn this sentence into an image.,TTI
Make an AI-generated drawing from this message.,TTI
Translate this phrase into an artwork.,TTI
Sketch what this description implies.,TTI
Create an image from this description.,TTI
Can you visualize this sentence for me?,TTI
Create visual content inspired by this line.,TTI
Paint the scene described here.,TTI
Create an artistic piece from these words.,TTI
Turn this phrase into an expressive drawing.,TTI
Make an image that represents this phrase.,TTI
Make a picture from this poetic verse.,TTI
Produce a visual from this narrative.,TTI
Draw a scene based on the prompt below.,TTI
Make a picture that matches the rhythm of this audio.,ATI
Draw what this recording makes you imagine.,ATI
Turn this track into a visual expression.,ATI
Craft a visual from this ambient noise.,ATI
Convert this voice clip into a visual concept.,ATI
Interpret this audio as visual language.,ATI
Make an artwork based on this resonance.,ATI
Use this melody to generate visual content.,ATI
Draw an abstract version of this audio.,ATI
Reflect this song visually.,ATI
Visualize what this audio file represents.,ATI
Illustrate the emotion behind this sound.,ATI
Sketch something that sounds like this.,ATI
Convert the essence of this audio into an image.,ATI
Produce a still image from this acoustic clip.,ATI
Imagine the scene that fits this sound.,ATI
Illustrate the theme of this spoken piece.,ATI
Sketch a scene inspired by this audio input.,ATI
Make an abstract painting based on this soundscape.,ATI
Make a still frame based on this chorus.,ATI
Generate an image from the tempo of this file.,ATI
Make something visual from this soundtrack.,ATI
Transform this musical track into a photo.,ATI
Render a mood board from this audio file.,ATI
Create a painting that shows the vibe of this audio.,ATI
Draw what this noise suggests.,ATI
Generate a visual based on this sound clip.,ATI
Design an artwork influenced by this audio file.,ATI
Imagine a visual counterpart to this melody.,ATI
What would this sound look like as an image?,ATI
Compose an image out of this tone.,ATI
Translate this voice into visual art.,ATI
Create an image that reflects the sound in this audio.,ATI
Visualize this beat in a colorful design.,ATI
Make an image echoing this vocal sample.,ATI
I want to see what this audio looks like.,ATI
Create visual art based on this sonic pattern.,ATI
Use sound-based inspiration to make a picture.,ATI
Use the mood of this sound to create an image.,ATI
Let this audio inspire a static visual.,ATI
Visually portray the waves in this sound.,ATI
Turn this music into a digital image.,ATI
Depict the energy of this audio file.,ATI
What kind of image does this sound make you think of?,ATI
Turn this acoustic file into a creative image.,ATI
Use this echo to guide your drawing.,ATI
Draw a scene that fits the sound of this piece.,ATI
Convert this musical sound into an image.,ATI
Let this voice guide your artistic vision.,ATI
Illustrate this audio like a dream.,ATI
Make a document out of this scanned poster.,ITT
What does this captured page contain?,ITT
Pull all text elements from this PDF snapshot.,ITT
Get the title and subtitle from this cover image.,ITT
Can you transcribe the letters in this screenshot?,ITT
Copy the message written in this signboard.,ITT
Please extract the words from this paper scan.,ITT
Find all the writing in this photograph.,ITT
Read and extract what’s in this document photo.,ITT
Can you read the quotes on this poster?,ITT
Can you get the text out of this visual file?,ITT
Read what’s typed on this form photo.,ITT
Extract the text from this image.,ITT
Digitize the text seen in this page scan.,ITT
Recognize what’s printed in this photograph.,ITT
Provide a text output of this announcement photo.,ITT
Identify text from this business card image.,ITT
Read the words found in this picture.,ITT
What’s printed in this ticket photo?,ITT
I need to know what this PNG says.,ITT
I need the characters shown in this image.,ITT
Read this meme and give me the words.,ITT
Convert this text-filled image into editable text.,ITT
What words are on this packaging image?,ITT
Translate the content of this flyer image.,ITT
Decode the writing shown in this photo.,ITT
Get every line of text visible in this snapshot.,ITT
Turn this chalkboard photo into text.,ITT
Read and return the text in this scanned image.,ITT
Please identify and write the words from this photo.,ITT
Capture the headline from this newspaper image.,ITT
What does this photo say?,ITT
Interpret the content of this instructional sign.,ITT
Read this label from the product photo.,ITT
Convert this infographic to a list of sentences.,ITT
Turn the writing in this image into plain text.,ITT
Pull all visible text from this graphic.,ITT
Grab the slogan from this advertisement image.,ITT
Transcribe the typed content from this image.,ITT
Read aloud the writing from this menu image.,ITT
Get the written content from this JPEG.,ITT
Detect and write the caption shown in this image.,ITT
Tell me what’s written in this photo.,ITT
What is written on this sign in the picture?,ITT
Extract all readable elements from this picture.,ITT
Tell me the lines printed in this visual.,ITT
Extract written instructions from this diagram image.,ITT
Scan this image for any visible text.,ITT
Tell me the labels from this screenshot.,ITT
Convert this snapshot into a readable format.,ITT
